Country,Men,Women,,
"",2010,2030,2010,2030
Australia,80.10 (79.89-80.19),84.00 (80.27-87.95),84.53 (84.46-84.64),87.57 (84.86-90.43)
Austria,77.73 (77.50-77.87),81.40 (78.56-85.40),83.21 (82.90-83.33),86.22 (81.65-88.32)
Belgium,77.35 (77.07-77.46),80.88 (76.38-83.80),82.76 (82.57-82.87),85.64 (81.10-87.98)
Bulgaria,70.21 (68.56-70.34),74.07 (67.88-80.80),77.33 (76.93-77.45),78.87 (77.51-84.06)
Canada,79.41 (78.70-79.50),83.89 (80.01-87.87),83.94 (83.40-84.04),87.09 (84.11-90.02)
Chile,76.74 (76.09-76.86),80.74 (76.23-84.05),82.95 (81.73-83.08),86.89 (80.71-90.20)
Croatia,73.10 (72.72-73.27),77.80 (72.78-85.25),79.80 (79.50-79.92),83.19 (80.06-88.92)
Czech Republic,74.36 (74.24-74.51),79.51 (75.90-81.98),80.63 (80.46-80.74),84.42 (80.98-86.93)
Denmark,77.22 (77.06-77.34),82.53 (78.46-86.36),81.33 (80.86-81.48),84.95 (81.10-91.50)
Finland,76.72 (76.47-76.87),81.05 (78.76-84.56),83.30 (83.12-83.45),86.43 (81.27-88.35)
France,77.93 (77.78-78.09),81.74 (76.89-85.83),84.86 (84.61-85.15),88.55 (84.64-91.28)
Germany,77.91 (77.74-77.97),81.96 (78.54-85.58),82.81 (82.73-82.86),85.86 (81.46-87.13)
Greece,77.89 (77.25-78.01),80.59 (76.90-84.28),82.63 (82.24-82.75),84.82 (80.31-88.70)
Hungary,70.65 (70.53-70.75),78.18 (72.04-85.12),78.42 (78.31-78.53),81.74 (78.33-86.91)
Ireland,77.96 (77.70-78.14),83.22 (78.69-87.74),82.59 (82.34-82.77),86.15 (81.70-91.02)
Italy,78.94 (78.50-78.99),82.82 (78.36-85.92),84.18 (83.90-84.23),87.28 (83.45-89.29)
Japan,79.44 (79.24-79.48),82.75 (78.91-84.61),86.66 (86.04-86.96),88.41 (84.22-92.60)
"Macedonia(TFYR)",72.29 (71.69-72.54),74.65 (71.39-80.85),76.47 (76.23-76.73),77.83 (75.35-83.88)
Mexico,73.15 (73.00-73.23),76.15 (70.82-78.95),78.91 (78.57-78.98),82.96 (77.89-88.09)
Netherlands,78.91 (78.77-79.01),83.69 (79.29-86.91),82.85 (82.74-83.00),85.39 (82.17-87.89)
New Zealand,79.01 (78.82-79.20),83.59 (76.35-89.14),82.80 (82.66-83.00),85.96 (80.36-91.73)
Norway,78.69 (78.52-78.85),83.16 (78.01-86.65),83.08 (82.94-83.23),85.55 (81.87-88.75)
Poland,71.86 (71.79-71.93),77.21 (73.04-81.68),80.40 (80.32-80.47),84.01 (80.47-87.55)
Portugal,76.71 (76.53-76.81),81.68 (77.62-86.21),83.14 (82.98-83.23),87.52 (83.24-91.90)
Romania,70.12 (69.98-70.21),74.21 (68.78-82.68),77.46 (77.18-77.55),81.24 (78.15-87.85)
Serbia,70.25 (69.91-70.39),73.37 (70.67-78.37),75.71 (75.22-75.83),78.27 (75.99-84.07)
Singapore,75.87 (75.67-76.05),79.57 (76.56-84.04),81.54 (81.12-81.71),84.81 (80.92-89.27)
Slovakia,71.62 (71.49-71.78),76.98 (74.31-80.85),79.25 (79.14-79.38),82.92 (80.21-86.87)
Slovenia,75.88 (75.62-76.11),82.26 (78.76-89.88),82.68 (82.48-82.90),87.42 (82.38-95.86)
South Korea,77.11 (76.86-77.19),84.07 (79.17-88.74),84.23 (84.13-84.30),90.82 (83.91-98.70)
Spain,78.66 (78.59-78.72),83.47 (80.45-89.72),84.83 (84.60-84.89),88.07 (85.08-92.33)
Sweden,79.55 (79.39-79.66),82.52 (80.03-86.35),83.49 (83.39-83.58),85.98 (83.34-87.94)
Switzerland,80.01 (79.87-80.14),83.95 (79.71-87.79),84.59 (84.47-85.08),87.70 (83.53-90.09)
United Kingdom,78.34 (78.25-78.39),82.47 (79.65-84.79),82.32 (81.96-82.37),85.25 (81.66-87.23)
"United States ofAmerica",76.52 (76.45-76.55),79.51 (76.22-82.78),81.24 (81.01-81.27),83.32 (79.83-85.39)
