"Country","Men 2010","Men 2030","Women 2010","Women 2030","Full 2010","Full 2030"
"South Korea","77.11","84.07","84.23","90.82","80.67","87.445"
"Switzerland","80.01","83.95","84.59","87.7","82.3","85.825"
"Australia","80.1","84","84.53","87.57","82.315","85.785"
"Spain","78.66","83.47","84.83","88.07","81.745","85.77"
"Japan","79.44","82.75","86.66","88.41","83.05","85.58"
"Canada","79.41","83.89","83.94","87.09","81.675","85.49"
"France","77.93","81.74","84.86","88.55","81.395","85.145"
"Italy","78.94","82.82","84.18","87.28","81.56","85.05"
"Slovenia","75.88","82.26","82.68","87.42","79.28","84.84"
"New Zealand","79.01","83.59","82.8","85.96","80.905","84.775"
"Ireland","77.96","83.22","82.59","86.15","80.275","84.685"
"Portugal","76.71","81.68","83.14","87.52","79.925","84.6"
"Netherlands","78.91","83.69","82.85","85.39","80.88","84.54"
"Norway","78.69","83.16","83.08","85.55","80.885","84.355"
"Sweden","79.55","82.52","83.49","85.98","81.52","84.25"
"Germany","77.91","81.96","82.81","85.86","80.36","83.91"
"UK","78.34","82.47","82.32","85.25","80.33","83.86"
"Chile","76.74","80.74","82.95","86.89","79.845","83.815"
"Austria","77.73","81.4","83.21","86.22","80.47","83.81"
"Denmark","77.22","82.53","81.33","84.95","79.275","83.74"
"Finland","76.72","81.05","83.3","86.43","80.01","83.74"
"Belgium","77.35","80.88","82.76","85.64","80.055","83.26"
"Greece","77.89","80.59","82.63","84.82","80.26","82.705"
"Singapore","75.87","79.57","81.54","84.81","78.705","82.19"
"Czechia","74.36","79.51","80.63","84.42","77.495","81.965"
"USA","76.52","79.51","81.24","83.32","78.88","81.415"
"Poland","71.86","77.21","80.4","84.01","76.13","80.61"
"Croatia","73.1","77.8","79.8","83.19","76.45","80.495"
"Hungary","70.65","78.18","78.42","81.74","74.535","79.96"
"Slovakia","71.62","76.98","79.25","82.92","75.435","79.95"
"Mexico","73.15","76.15","78.91","82.96","76.03","79.555"
"Romania","70.12","74.21","77.46","81.24","73.79","77.725"
"Bulgaria","70.21","74.07","77.33","78.87","73.77","76.47"
"Macedonia","72.29","74.65","76.47","77.83","74.38","76.24"
"Serbia","70.25","73.37","75.71","78.27","72.98","75.82"
